symbol,interval,entry_time,exit_time,entry_price,exit_price,direction,profit_loss,profit_pct,hold_duration,exit_reason
BTCUSDT,1d,2025-05-23 19:03:32,2025-05-24 01:22:56,110929.07,109674.80,Short,"+2,034.42",1.13%,6h 19m,Manual
1000PEPEUSDT,1d,2025-05-23 07:56:08,2025-05-23 12:15:52,0.0152731,0.0158918,Long,"+4,453.66",4.05%,4h 19m,Manual
MOODENGUSDT,1d,2025-05-23 04:18:11,2025-05-23 04:22:36,0.2670593,0.2738727,Short,-637.96,-2.55%,4m,Manual
ETHUSDT,1d,2025-05-22 17:11:03,2025-05-23 06:34:09,2672.87,2648.29,Short,"+1,657.35",0.92%,13h 23m,Manual
ETHUSDT,1d,2025-05-22 11:53:26,2025-05-22 13:04:35,2632.06,2628.34,Short,+254.52,0.14%,1h 11m,Manual
DOGEUSDT,1d,2025-05-22 06:56:53,2025-05-22 09:38:07,0.232986,0.241178,Long,"+5,682.84",3.52%,2h 41m,Manual
BTCUSDT,1d,2025-05-21 22:48:16,2025-05-22 00:56:54,107830.44,109308.30,Long,"+3,475.93",1.37%,2h 8m,Manual
TRUMPUSDT,1d,2025-05-21 07:17:17,2025-05-21 15:30:37,14.358679,14.333211,Long,-132.95,-0.18%,8h 13m,Manual
BTCUSDT,1d,2025-05-21 04:34:30,2025-05-21 04:47:58,106527.50,107098.11,Short,-535.23,-0.54%,13m,Manual
ETHUSDT,1d,2025-05-20 16:23:49,2025-05-21 04:47:56,2527.86,2513.13,Short,+873.77,0.58%,12h 24m,Manual
MOODENGUSDT,1d,2025-05-20 06:36:37,2025-05-20 08:48:22,0.2520644,0.2449454,Long,-846.69,-2.82%,2h 11m,Manual
ETHUSDT,1d,2025-05-19 21:40:10,2025-05-20 01:08:26,2432.77,2535.33,Short,"-6,326.87",-4.22%,3h 28m,Manual
MOODENGUSDT,1d,2025-05-19 08:23:23,2025-05-19 08:32:30,0.2664878,0.2549967,Long,-507.81,-4.31%,9m,Manual
DOGEUSDT,1d,2025-05-19 00:34:02,2025-05-19 07:56:40,0.233869,0.233691,Short,+44.19,0.08%,7h 22m,Manual
SOLUSDT,1d,2025-05-19 00:33:48,2025-05-19 07:56:41,175.3444,173.9100,Short,+474.73,0.82%,7h 22m,Manual
ETHUSDT,1d,2025-05-19 00:33:40,2025-05-19 07:56:38,2560.20,2498.77,Short,"+1,391.64",2.40%,7h 22m,Manual
MOODENGUSDT,1d,2025-05-18 12:48:07,2025-05-19 00:32:27,0.2138178,0.2608385,Long,"+2,412.87",21.99%,11h 44m,Manual
WIFUSDT,1d,2025-05-16 21:09:56,2025-05-17 19:51:37,1.0873000,0.9807265,Short,"+2,450.41",9.80%,22h 41m,Manual
SOLUSDT,1d,2025-05-16 20:16:02,2025-05-17 19:51:37,172.6700,167.8739,Short,"+2,777.65",2.78%,23h 35m,Manual
NXPCUSDT,1d,2025-05-16 10:31:19,2025-05-16 12:39:18,2.8291737,2.7466144,Long,"-2,681.53",-2.92%,2h 7m,Manual
NXPCUSDT,1d,2025-05-16 09:59:45,2025-05-16 10:30:42,2.6560846,2.8193184,Long,"+2,822.64",6.15%,30m,Manual
WIFUSDT,1d,2025-05-15 22:11:10,2025-05-16 01:25:00,0.9875479,1.0808955,Short,"-7,566.16",-9.45%,3h 13m,Manual
SOLUSDT,1d,2025-05-15 14:18:19,2025-05-15 16:32:58,173.6616,172.5043,Short,"+2,998.91",0.67%,2h 14m,Manual
PEOPLEUSDT,1d,2025-05-14 00:03:28,2025-05-15 13:33:51,0.02950,0.03393,Long,"+10,832.87",15.03%,1d 13h 30m,Manual
WLDUSDT,1d,2025-05-13 16:55:21,2025-05-13 20:12:13,1.2676878,1.2476105,Long,-474.03,-1.58%,3h 16m,Manual
BTCUSDT,1d,2025-05-13 02:51:27,2025-05-13 09:37:21,101025.75,102342.20,Long,"+4,948.53",1.30%,6h 45m,Manual
TSTUSDT,1d,2025-05-12 17:51:28,2025-05-13 09:37:37,0.0684114,0.0627537,Long,"-5,788.48",-8.27%,15h 46m,Manual
MOODENGUSDT,1d,2025-05-11 17:09:11,2025-05-13 22:03:07,0.1530366,0.2634516,Long,"+79,304.66",86.26%,2d 4h 53m,Manual
SOLUSDT,1d,2025-05-11 09:55:44,2025-05-11 16:43:31,176.5855,173.7183,Short,"+3,248.02",1.62%,6h 47m,Manual
SOLUSDT,1d,2025-05-11 09:50:09,2025-05-11 09:53:00,177.6560,176.4617,Short,"+2,333.98",0.67%,2m,Manual
INITUSDT,1d,2025-05-11 04:43:41,2025-05-11 13:09:40,0.9190464,1.1435844,Long,"+14,656.94",24.43%,8h 25m,Manual
ETHUSDT,1d,2025-05-11 02:54:49,2025-05-11 03:12:30,2499.94,2482.72,Long,"-4,863.89",-0.69%,17m,Manual
BTCUSDT,1d,2025-05-11 01:13:34,2025-05-11 02:54:29,103346.52,103228.76,Short,"+1,563.40",0.11%,1h 40m,Manual
ETHUSDT,1d,2025-05-10 16:59:12,2025-05-11 01:10:59,2391.32,2478.65,Short,"-31,050.51",-3.65%,8h 11m,Manual
ORDIUSDT,1d,2025-05-10 15:39:46,2025-05-10 19:51:11,9.838706,9.409617,Long,"-5,235.49",-4.36%,4h 11m,Manual
BTCUSDT,1d,2025-05-10 14:29:16,2025-05-10 15:16:31,103654.43,103720.10,Long,+348.38,0.06%,47m,Manual
TRUMPUSDT,1d,2025-05-10 09:43:16,2025-05-11 01:11:01,14.507295,14.381868,Short,"+1,295.96",0.86%,15h 27m,Manual
MUBARAKUSDT,1d,2025-05-10 02:08:26,2025-05-10 08:22:21,0.0411511,0.0652868,Long,"+64,644.49",58.65%,6h 13m,Manual
MOODENGUSDT,1d,2025-05-10 00:14:40,2025-05-10 02:03:26,0.1400920,0.1447083,Long,"+1,318.42",3.30%,1h 48m,Manual
ETHUSDT,1d,2025-05-09 21:53:11,2025-05-09 23:54:18,2374.31,2307.67,Short,"+14,794.94",2.81%,2h 1m,Manual
MOODENGUSDT,1d,2025-05-09 19:06:59,2025-05-09 20:24:08,0.1338298,0.1248169,Short,"+1,210.74",6.73%,1h 17m,Manual
MOODENGUSDT,1d,2025-05-09 16:16:00,2025-05-09 16:37:04,0.1170935,0.1362637,Long,"+13,086.61",16.37%,21m,Manual
ETHUSDT,1d,2025-05-09 05:29:26,2025-05-09 08:20:11,2195.46,2193.49,Short,+740.76,0.09%,2h 50m,Manual
DOGEUSDT,1d,2025-05-09 00:16:35,2025-05-09 05:06:38,0.191789,0.193098,Long,"+2,740.34",0.68%,4h 50m,Manual
ETHUSDT,1d,2025-05-08 22:34:37,2025-05-08 23:21:03,1990.80,2014.60,Short,"-4,975.89",-1.20%,46m,Manual
SOLUSDT,1d,2025-05-08 21:32:25,2025-05-08 23:24:47,154.8644,159.1379,Short,"-13,795.33",-2.76%,1h 52m,Manual
ETHUSDT,1d,2025-05-08 15:20:44,2025-05-08 17:03:12,1910.48,1930.40,Long,"+3,130.89",1.04%,1h 42m,Manual
ETHUSDT,1d,2025-05-08 06:01:54,2025-05-08 12:02:29,1803.12,1907.19,Long,"+36,040.71",5.77%,6h 0m,Manual
SOLUSDT,1d,2025-05-08 02:44:05,2025-05-08 05:30:05,146.4320,147.3966,Short,"-2,173.09",-0.66%,2h 46m,Manual
ETHUSDT,1d,2025-05-07 18:32:05,2025-05-08 02:34:21,1830.90,1814.70,Short,"+5,322.02",0.88%,8h 2m,Manual
OPUSDT,1d,2025-05-07 09:25:33,2025-05-07 16:08:34,0.6198807,0.6025235,Long,"-3,359.46",-2.80%,6h 43m,Manual
OPUSDT,1d,2025-05-07 09:22:10,2025-05-07 09:25:20,0.6159195,0.6194246,Long,+470.74,0.57%,3m,Manual
ETHUSDT,1d,2025-05-07 06:28:24,2025-05-07 08:32:55,1797.90,1832.09,Long,"+10,212.53",1.90%,2h 4m,Manual
LAYERUSDT,1d,2025-05-06 16:11:14,2025-05-07 00:01:38,1.938759,1.692190,Long,"-4,575.59",-12.72%,7h 50m,Manual
BTCUSDT,1d,2025-05-06 03:52:22,2025-05-07 06:05:39,94360.09,95422.32,Short,"-7,167.95",-1.13%,1d 2h 13m,Manual
LTCUSDT,1d,2025-05-06 03:35:34,2025-05-06 03:37:55,85.64,85.26,Short,+151.05,0.44%,2m,Manual
LTCUSDT,1d,2025-05-06 02:49:32,2025-05-06 03:37:57,87.11,85.45,Long,"-2,530.68",-1.91%,48m,Manual
BTCUSDT,1d,2025-05-05 06:06:34,2025-05-06 02:47:37,95072.23,94815.50,Short,"+1,778.33",0.27%,20h 41m,Manual
TRUMPUSDT,1d,2025-05-04 03:11:44,2025-05-05 06:06:22,11.484458,10.999876,Long,"-9,690.08",-4.22%,1d 2h 54m,Manual
SOLUSDT,1d,2025-05-02 21:10:07,2025-05-03 23:07:12,150.4804,148.6164,Short,"+8,352.34",1.24%,1d 1h 57m,Manual
ETHUSDT,1d,2025-05-01 17:33:43,2025-05-01 21:35:48,1819.06,1831.50,Long,"+4,320.24",0.68%,4h 2m,Manual
BTCUSDT,1d,2025-04-30 22:46:19,2025-05-01 13:36:22,93978.93,95000.00,Short,"-7,871.44",-1.09%,14h 50m,Manual
ALPACAUSDT,1d,2025-04-30 16:29:16,2025-04-30 17:01:05,1.1346322,1.0855334,Short,+958.11,4.33%,31m,Manual
ETHUSDT,1d,2025-04-30 04:31:15,2025-04-30 22:33:26,1809.69,1769.49,Short,"+13,105.68",2.22%,18h 2m,Manual
ETHUSDT,1d,2025-04-30 01:52:46,2025-04-30 04:31:09,1828.11,1810.30,Long,"-6,373.43",-0.97%,2h 38m,Manual
ETHUSDT,1d,2025-04-30 00:44:51,2025-04-30 01:01:51,1829.59,1811.52,Long,"-7,222.06",-0.99%,17m,Manual
TRUMPUSDT,1d,2025-04-28 18:15:52,2025-04-30 00:44:28,15.221897,13.837492,Short,"+23,499.09",9.09%,1d 6h 28m,Manual
ALPACAUSDT,1d,2025-04-27 22:03:29,2025-04-28 01:01:41,0.2000788,0.2821745,Short,"-37,960.74",-41.03%,2h 58m,Manual
ALPACAUSDT,1d,2025-04-27 00:18:20,2025-04-27 02:03:38,0.2575490,0.3146192,Short,"-1,772.43",-22.16%,1h 45m,Manual
TRUMPUSDT,1d,2025-04-26 17:00:59,2025-04-27 22:11:22,15.695246,14.920199,Short,"+19,301.99",4.94%,1d 5h 10m,Manual
LAYERUSDT,1d,2025-04-26 15:51:25,2025-04-26 19:18:49,2.722542,2.408677,Long,"-9,772.34",-11.53%,3h 27m,Manual
ETHUSDT,1d,2025-04-26 00:18:35,2025-04-26 05:10:50,1789.29,1804.10,Short,"-7,801.58",-0.83%,4h 52m,Manual
ETHUSDT,1d,2025-04-25 20:12:52,2025-04-25 22:22:35,1796.85,1773.68,Long,"-6,639.76",-1.29%,2h 9m,Manual
BTCUSDT,1d,2025-04-25 20:12:45,2025-04-25 22:46:10,94910.61,95373.08,Short,"-2,544.52",-0.49%,2h 33m,Manual
TRUMPUSDT,1d,2025-04-25 14:27:31,2025-04-25 17:05:48,12.394654,12.726413,Long,"+2,140.38",2.68%,2h 38m,Manual
ETHUSDT,1d,2025-04-25 00:17:48,2025-04-25 18:03:28,1771.53,1784.06,Long,"+5,242.28",0.71%,17h 45m,Manual
BTCUSDT,1d,2025-04-24 04:29:53,2025-04-24 23:13:43,93686.12,93376.48,Short,"+1,600.54",0.33%,18h 43m,Manual
BTCUSDT,1d,2025-04-23 16:24:01,2025-04-23 22:01:54,94149.88,93074.42,Short,"+4,879.34",1.14%,5h 37m,Manual
ETHUSDT,1d,2025-04-22 23:00:31,2025-04-24 03:26:13,1687.59,1776.68,Long,"+32,013.23",5.28%,1d 4h 25m,Manual
ETHUSDT,1d,2025-04-22 16:25:58,2025-04-22 19:42:43,1623.36,1629.23,Long,"+1,263.05",0.36%,3h 16m,Manual
BTCUSDT,1d,2025-04-22 16:25:40,2025-04-22 23:00:25,88372.40,90828.08,Short,"-9,690.10",-2.78%,6h 34m,Manual
BTCUSDT,1d,2025-04-21 10:09:14,2025-04-22 16:17:57,87212.51,88631.22,Short,"-5,097.42",-1.63%,1d 6h 8m,Manual
ETHUSDT,1d,2025-04-21 04:06:07,2025-04-21 10:02:46,1591.61,1627.33,Long,"+3,142.72",2.24%,5h 56m,Manual
BROCCOLIF3BUSDT,1d,2025-04-20 22:34:39,2025-04-21 03:32:42,0.0725016,0.0671710,Short,"+1,016.60",7.35%,4h 58m,Manual
VOXELUSDT,1d,2025-04-20 22:30:30,2025-04-21 03:27:10,0.0967067,0.0944674,Short,+316.83,2.32%,4h 56m,Manual
ETHUSDT,1d,2025-04-20 14:27:28,2025-04-20 22:30:01,1598.14,1577.92,Short,"+3,216.10",1.26%,8h 2m,Manual
BTCUSDT,1d,2025-04-18 17:13:28,2025-04-19 23:32:19,84798.65,85591.10,Short,"-2,435.98",-0.93%,1d 6h 18m,Manual
ETHUSDT,1d,2025-04-18 03:21:09,2025-04-18 13:40:26,1583.24,1577.32,Short,+251.97,0.37%,10h 19m,Manual
TRUMPUSDT,1d,2025-04-17 23:14:48,2025-04-18 02:59:52,7.559144,7.644553,Long,"+1,241.83",1.13%,3h 45m,Manual
ETHUSDT,1d,2025-04-17 14:27:53,2025-04-17 22:07:30,1606.52,1586.78,Long,-962.64,-1.23%,7h 39m,Manual
SOLUSDT,1d,2025-04-17 14:25:32,2025-04-17 22:07:35,133.6140,131.5204,Long,"-1,177.08",-1.57%,7h 42m,Manual
BTCUSDT,1d,2025-04-17 02:26:14,2025-04-17 11:20:25,84292.73,83927.50,Long,-624.18,-0.43%,8h 54m,Manual
